transaction_id,transaction_amount,transaction_type,location,time_of_day,account_age_days,num_prev_transactions,is_foreign_transaction,is_high_risk_country,has_chip,is_fraud
TXN100144,33.52,in_store,MA,evening,1575,76,0,0,1,0
TXN100145,3.76,in_store,OH,night,471,469,0,0,1,0
TXN100146,94.05,in_store,TX,afternoon,1831,4,0,0,1,0
TXN100147,69.85,transfer,CA,evening,1643,139,1,0,1,0
TXN100148,5.29,in_store,MA,night,2113,251,0,0,1,0
TXN100149,32.66,atm,FL,evening,3303,156,0,0,1,0
TXN100150,238.89,atm,NY,night,2195,258,0,0,0,0
TXN100151,27.39,atm,WA,morning,731,316,0,0,1,0
TXN100152,15.65,transfer,WA,morning,783,434,0,0,1,0
TXN100153,67.23,in_store,WA,night,1858,419,0,0,1,0
TXN100154,424.4,atm,CA,evening,3270,366,0,0,1,0
TXN100155,27.71,atm,NY,night,1565,236,0,0,1,0
TXN100156,111.52,atm,TX,morning,259,74,0,0,1,0
TXN100157,143.39,atm,CA,night,589,473,0,0,1,0
TXN100158,27.13,online,WA,morning,1203,385,0,0,1,0
TXN100159,130.27,in_store,WA,morning,1908,28,0,0,1,0
TXN100160,45.85,in_store,IL,afternoon,2285,40,0,0,1,0
TXN100161,100.05,transfer,OH,evening,1114,28,0,0,0,0
TXN100162,100.38,online,OH,night,1170,491,0,0,0,0
TXN100163,76.74,transfer,IL,evening,268,99,0,0,0,0
TXN100164,9.46,atm,NV,evening,2944,319,0,0,0,0
TXN100165,180.36,transfer,IL,morning,2125,57,0,0,1,0
TXN100166,38.68,atm,OH,morning,1501,210,0,0,1,0
TXN100167,20.64,atm,WA,night,2834,137,0,0,1,0
TXN100168,4.16,in_store,FL,night,1521,10,0,0,1,0
TXN100169,89.38,in_store,OH,night,1346,390,1,0,1,0
TXN100170,113.19,in_store,NY,morning,2075,332,0,0,1,0
TXN100171,1.67,in_store,FL,afternoon,3526,488,0,0,0,0
TXN100172,71.76,in_store,CA,night,546,363,0,0,0,0
TXN100173,25.68,online,OH,morning,234,188,0,0,1,0
TXN100174,103.61,in_store,TX,afternoon,3281,449,1,0,1,0
TXN100175,19.16,transfer,MA,evening,3630,93,1,0,0,0
TXN100176,117.42,atm,MA,morning,2167,341,0,0,1,0
TXN100177,48.9,in_store,NY,night,2577,180,0,0,1,0
TXN100178,276.03,online,GA,night,1161,320,0,0,1,0
TXN100179,14.79,transfer,MA,afternoon,1243,282,0,0,0,0
TXN100180,41.71,transfer,NY,afternoon,3281,390,0,0,1,0
TXN100181,12.04,atm,GA,morning,1814,320,1,0,1,0
TXN100182,258.62,transfer,CA,afternoon,3121,57,0,0,1,0
TXN100183,209.83,transfer,GA,morning,1412,24,1,0,1,0
TXN100184,29.83,transfer,TX,afternoon,1787,303,0,0,1,0
TXN100185,107.88,transfer,OH,evening,1709,259,0,0,1,0
TXN100186,169.95,online,MA,night,36,477,0,0,1,0
TXN100187,81.01,atm,WA,night,1915,391,0,0,1,0
TXN100188,75.43,in_store,IL,evening,2399,496,0,0,1,0
TXN100189,27.69,transfer,OH,night,2345,212,0,0,1,0
TXN100190,9.77,online,CA,night,3528,114,0,0,1,0
TXN100191,227.51,atm,CA,night,325,451,0,0,1,0
TXN100192,230.68,in_store,NY,night,3614,187,0,0,0,0
TXN100193,100.27,atm,NV,evening,2647,259,0,0,0,1
TXN100194,41.4,online,GA,morning,1440,135,0,0,1,0
TXN100195,42.96,online,GA,night,293,489,0,0,0,0
TXN100196,129.45,online,NY,evening,2167,89,0,0,1,0
TXN100197,227.41,transfer,IL,night,3589,220,0,0,0,0
TXN100198,218.11,online,WA,evening,882,15,1,0,1,0
TXN100199,151.36,in_store,CA,evening,3362,146,0,0,1,0
TXN100200,102.73,transfer,OH,morning,2565,384,0,0,1,0
TXN100201,8.79,atm,IL,afternoon,1394,100,0,0,0,0
TXN100202,17.63,in_store,WA,morning,1382,417,0,0,1,0
TXN100203,228.82,transfer,NV,morning,430,476,0,0,1,0
TXN100204,93.25,online,OH,night,386,218,0,1,0,0
TXN100205,0.92,atm,NY,evening,2832,367,1,0,1,0
TXN100206,10.7,online,OH,afternoon,2576,44,0,0,0,0
TXN100207,108.92,in_store,TX,evening,863,62,0,1,0,0
TXN100208,0.51,in_store,NV,night,464,349,0,0,1,0
TXN100209,17.53,transfer,NY,evening,148,389,0,0,1,0
TXN100210,79.57,in_store,NY,night,3148,291,0,0,1,0
TXN100211,117.73,atm,NY,morning,3269,376,0,0,1,0
TXN100212,105.54,transfer,MA,morning,1052,358,0,0,0,0
TXN100213,25.39,atm,IL,night,2425,65,0,0,1,0
TXN100214,124.54,online,WA,morning,3605,118,0,0,1,0
TXN100215,27.08,atm,GA,evening,2616,233,0,0,0,0
TXN100216,39.36,atm,CA,afternoon,3397,461,0,0,1,0
TXN100217,137.24,in_store,CA,afternoon,1566,7,0,0,1,0
TXN100218,104.88,online,TX,evening,3275,194,0,0,0,0
TXN100219,189.2,in_store,TX,afternoon,1448,226,0,0,1,0
TXN100220,107.18,online,TX,evening,1732,26,0,0,1,0
TXN100221,84.0,online,FL,night,559,289,0,0,1,0
TXN100222,9.84,atm,TX,afternoon,332,27,0,0,0,0
TXN100223,45.84,in_store,CA,night,2279,158,0,0,0,0
TXN100224,30.82,atm,NV,night,3634,144,0,0,1,0
TXN100225,27.97,atm,WA,evening,185,466,0,1,1,0
TXN100226,361.23,atm,TX,afternoon,43,233,0,0,1,0
TXN100227,49.94,online,NV,morning,3121,107,0,0,1,0
TXN100228,222.61,in_store,FL,morning,2833,378,0,0,0,0
TXN100229,99.73,in_store,FL,morning,918,438,0,0,1,0
TXN100230,158.38,atm,GA,morning,3558,202,0,0,1,0
TXN100231,69.84,online,MA,evening,1226,264,0,0,1,0
TXN100232,86.02,in_store,MA,night,474,477,1,0,1,0
TXN100233,67.83,transfer,OH,afternoon,2199,312,0,0,1,0
TXN100234,21.72,in_store,MA,evening,3598,300,1,0,0,0
TXN100235,128.18,atm,OH,morning,2261,389,1,0,1,0
TXN100236,32.96,transfer,IL,afternoon,1873,397,0,0,0,0
TXN100237,2.46,online,MA,evening,2748,414,0,0,0,0
TXN100238,103.7,transfer,FL,night,78,437,0,0,1,0
TXN100239,19.49,transfer,GA,morning,210,10,1,0,0,0
TXN100240,282.11,atm,NV,afternoon,1447,324,0,0,1,0
TXN100241,307.76,in_store,TX,afternoon,3494,94,0,0,1,0
TXN100242,246.35,online,MA,morning,3449,129,0,0,0,0
TXN100243,46.23,transfer,OH,night,3577,102,1,0,1,0
TXN100244,1.56,atm,NV,morning,2218,272,0,0,1,0
TXN100245,263.55,in_store,NY,night,559,485,0,0,1,0
TXN100246,55.89,transfer,CA,afternoon,1705,109,0,1,0,0
TXN100247,340.08,atm,MA,morning,613,291,0,0,0,0
TXN100248,331.37,atm,CA,night,2548,130,0,0,0,1
TXN100249,191.74,atm,MA,night,1807,190,0,0,0,0
TXN100250,34.88,online,NY,evening,1316,298,0,0,1,0
TXN100251,48.63,in_store,TX,night,2220,92,0,0,1,0
TXN100252,190.47,transfer,IL,morning,736,288,0,0,1,0
TXN100253,38.11,in_store,WA,morning,3247,205,0,0,0,0
TXN100254,18.57,in_store,NV,night,323,357,0,0,1,0
TXN100255,81.37,transfer,NV,morning,1591,28,0,0,1,0
TXN100256,275.13,in_store,TX,afternoon,1562,406,0,0,1,0
TXN100257,119.08,online,GA,afternoon,451,186,0,0,1,0
TXN100258,84.41,transfer,FL,morning,1624,336,1,0,1,0
TXN100259,10.22,transfer,MA,night,2641,176,0,0,1,0
TXN100260,95.45,atm,WA,afternoon,2494,438,0,1,1,0
TXN100261,461.06,in_store,GA,night,690,330,0,0,1,0
TXN100262,15.09,transfer,WA,morning,2990,155,0,1,1,0
TXN100263,73.05,transfer,FL,evening,3208,245,0,0,0,0
TXN100264,209.86,online,CA,afternoon,3419,198,0,0,1,0
TXN100265,135.0,atm,MA,morning,2136,108,0,0,0,0
TXN100266,119.41,transfer,FL,afternoon,3093,359,0,0,1,0
TXN100267,121.23,online,NV,night,2335,71,0,0,1,0
TXN100268,44.55,transfer,NV,evening,2870,488,0,0,0,0
TXN100269,34.76,transfer,MA,evening,3526,220,0,0,1,0
TXN100270,165.74,transfer,IL,morning,2608,280,0,0,1,0
TXN100271,166.13,online,TX,afternoon,2243,390,0,0,1,0
TXN100272,201.8,in_store,TX,evening,3126,376,1,0,1,0
TXN100273,244.46,transfer,NV,afternoon,1988,213,0,0,1,0
TXN100274,71.61,transfer,NV,night,2081,456,0,0,0,0
TXN100275,69.62,in_store,FL,night,2080,74,1,0,0,0
TXN100276,160.09,transfer,NY,morning,2495,417,0,0,1,0
TXN100277,104.97,atm,OH,evening,2439,474,1,0,1,0
TXN100278,121.06,transfer,IL,evening,2983,241,0,0,1,0
TXN100279,158.86,atm,GA,afternoon,398,149,1,0,1,0
TXN100280,220.73,in_store,OH,night,568,322,0,0,0,0
TXN100281,41.25,online,FL,evening,2957,177,0,0,1,0
TXN100282,47.09,in_store,OH,morning,2423,175,0,0,1,0
TXN100283,9.87,transfer,OH,morning,760,103,1,0,1,0
TXN100284,86.34,atm,FL,evening,926,118,0,0,1,0
TXN100285,3.66,online,NV,morning,1097,199,0,0,1,0
TXN100286,62.66,transfer,NV,evening,2801,69,1,0,1,0
TXN100287,78.23,online,MA,evening,593,56,0,0,1,0
TXN100288,33.76,online,OH,evening,3254,408,0,0,1,0
TXN100289,89.36,transfer,GA,evening,2279,65,0,0,1,0
TXN100290,3.1,in_store,FL,afternoon,2398,399,1,0,1,1
TXN100291,3.81,transfer,GA,evening,493,57,0,0,1,0
TXN100292,172.94,transfer,WA,morning,1064,116,0,0,1,0
TXN100293,44.66,in_store,TX,night,3328,424,1,0,1,1
TXN100294,13.59,atm,MA,afternoon,2710,306,0,0,1,0
TXN100295,73.87,transfer,TX,night,2410,20,0,0,1,0
TXN100296,146.96,online,MA,night,3570,78,0,0,1,0
TXN100297,24.31,transfer,IL,night,44,311,0,0,1,0
TXN100298,97.52,transfer,FL,night,3158,353,0,0,0,0
TXN100299,8.92,online,TX,night,1383,46,0,0,0,0
TXN100300,5.31,in_store,GA,morning,3165,373,0,0,0,0
TXN100301,75.79,atm,FL,evening,2307,170,0,0,0,0
TXN100302,77.79,atm,GA,morning,40,83,0,0,1,0
TXN100303,101.45,online,OH,afternoon,1686,107,1,1,1,0
TXN100304,129.5,in_store,TX,morning,1277,286,0,0,0,0
TXN100305,372.36,transfer,OH,afternoon,1790,270,0,0,0,0
TXN100306,72.63,transfer,NV,evening,1690,175,0,0,1,0
TXN100307,39.0,transfer,WA,night,1793,317,1,0,1,0
TXN100308,158.57,transfer,IL,evening,571,475,0,0,0,0
TXN100309,31.59,transfer,IL,morning,1559,69,0,0,1,0
TXN100310,57.8,online,TX,morning,2599,386,0,0,0,1
TXN100311,8.17,transfer,CA,evening,3155,165,1,0,1,0
TXN100312,2.57,transfer,WA,evening,1772,342,0,0,0,0
TXN100313,328.74,in_store,NY,morning,2844,57,1,0,0,0
TXN100314,180.78,transfer,MA,evening,1210,450,0,0,0,0
TXN100315,119.06,atm,IL,afternoon,2718,244,0,0,1,0
TXN100316,52.59,online,FL,afternoon,2647,44,1,0,1,0
TXN100317,19.03,online,NV,morning,2482,171,0,0,0,0
TXN100318,17.01,online,OH,morning,1452,263,0,0,1,0
TXN100319,28.8,atm,NY,evening,2784,382,0,0,1,0
TXN100320,79.68,transfer,FL,evening,958,65,0,0,0,0
TXN100321,125.38,online,TX,night,1456,326,0,0,1,0
TXN100322,107.94,atm,WA,afternoon,1142,188,0,0,1,0
TXN100323,32.84,in_store,IL,morning,1919,272,0,0,0,0
TXN100324,309.81,transfer,MA,morning,2670,70,0,0,1,0
TXN100325,133.9,atm,NY,morning,2263,352,0,0,1,0
TXN100326,80.82,transfer,IL,morning,924,35,0,0,1,0
TXN100327,94.6,in_store,CA,night,2156,238,1,0,1,0
TXN100328,54.4,atm,CA,afternoon,2222,67,0,0,1,0
TXN100329,28.47,transfer,CA,night,2091,107,0,0,1,0
TXN100330,44.0,atm,NV,afternoon,1684,207,0,0,1,0
TXN100331,141.82,online,OH,morning,31,276,0,0,1,0
TXN100332,1.45,transfer,TX,afternoon,2593,209,0,0,1,0
TXN100333,12.34,atm,FL,morning,2833,301,0,0,1,0
TXN100334,4.71,online,IL,night,2143,429,0,0,1,0
TXN100335,4.16,in_store,FL,afternoon,2323,347,0,0,1,0
TXN100336,193.42,transfer,FL,evening,1655,106,0,0,1,0
TXN100337,121.62,transfer,IL,afternoon,3531,379,0,0,1,0
TXN100338,64.28,in_store,OH,morning,1743,15,0,0,1,0
TXN100339,10.3,online,NV,evening,601,238,0,0,1,0
TXN100340,67.65,in_store,NV,morning,3333,405,1,0,1,0
TXN100341,64.15,transfer,WA,evening,465,389,0,0,1,0
TXN100342,19.02,atm,TX,evening,2430,221,0,0,1,0
TXN100343,56.89,online,WA,afternoon,1741,439,0,0,0,0
TXN100344,50.83,online,OH,afternoon,2756,255,0,0,0,0
TXN100345,95.67,online,FL,evening,412,300,0,0,1,0
TXN100346,100.81,in_store,TX,evening,1763,441,0,0,1,0
TXN100347,4.64,in_store,WA,evening,1113,411,0,0,1,0
TXN100348,46.94,atm,WA,morning,1979,144,0,0,1,0
TXN100349,98.31,atm,CA,afternoon,2547,163,0,0,1,0
TXN100350,69.94,online,NV,morning,1464,11,0,1,1,0
TXN100351,194.13,atm,GA,afternoon,1136,49,0,0,1,0
TXN100352,107.5,in_store,WA,night,103,314,0,0,0,0
TXN100353,17.79,atm,NY,morning,1364,359,0,0,1,0
TXN100354,7.32,in_store,CA,afternoon,3555,11,0,0,1,0
TXN100355,102.84,atm,FL,evening,2103,483,0,0,0,0
TXN100356,2.69,transfer,MA,evening,3527,189,0,0,1,0
TXN100357,88.13,in_store,NV,afternoon,1430,295,0,0,1,0
TXN100358,281.73,transfer,OH,evening,3344,92,0,0,1,0
TXN100359,85.68,in_store,IL,evening,864,129,0,0,1,0
TXN100360,49.13,atm,OH,night,2705,348,1,0,0,0
TXN100361,103.08,transfer,CA,night,3424,477,0,0,1,1
TXN100362,61.3,atm,NY,night,1233,483,0,0,1,0
TXN100363,78.88,in_store,OH,morning,803,363,0,0,0,0
TXN100364,283.81,transfer,NY,night,3086,408,0,0,1,0
TXN100365,48.79,online,IL,night,2343,340,1,1,1,0
TXN100366,324.91,atm,MA,night,2627,213,0,1,1,0
TXN100367,235.76,in_store,NV,afternoon,1433,329,0,0,1,0
TXN100368,21.79,transfer,NV,evening,106,382,0,0,1,0
TXN100369,7.19,atm,GA,afternoon,3625,286,0,0,1,0
TXN100370,10.62,transfer,NY,night,1102,174,0,0,1,0
TXN100371,1.84,atm,IL,morning,3091,443,0,0,1,0
TXN100372,9.92,atm,WA,afternoon,3355,200,0,0,0,0
TXN100373,114.89,atm,WA,night,1433,104,1,0,0,0
TXN100374,7.38,transfer,FL,morning,3350,230,0,0,1,0
TXN100375,38.42,transfer,NY,morning,3173,97,0,0,1,1
TXN100376,186.35,atm,TX,morning,2524,102,0,0,1,0
TXN100377,2.35,online,OH,evening,2583,40,0,0,1,0
TXN100378,168.45,online,FL,morning,1762,433,0,0,1,0
TXN100379,33.11,online,FL,night,3354,150,0,0,0,0
TXN100380,12.58,in_store,FL,afternoon,3073,267,0,0,1,0
TXN100381,119.32,online,IL,afternoon,899,326,0,0,1,0
TXN100382,99.14,transfer,NV,night,2376,351,0,0,0,0
TXN100383,209.94,online,FL,evening,2811,466,0,0,1,0
TXN100384,132.83,transfer,NV,evening,1113,277,0,0,1,0
TXN100385,162.7,in_store,NV,morning,1410,55,1,0,0,0
TXN100386,33.13,transfer,NY,night,2234,15,0,0,1,0
TXN100387,19.53,transfer,IL,morning,2419,441,1,0,1,0
TXN100388,138.88,transfer,NV,morning,1003,455,1,0,1,0
TXN100389,164.42,online,FL,night,2971,221,0,0,1,0
TXN100390,465.7,atm,IL,evening,1255,178,0,0,1,1
TXN100391,53.21,transfer,FL,evening,1832,133,0,0,1,0
TXN100392,46.52,online,CA,afternoon,3136,257,0,0,0,1
TXN100393,149.8,online,OH,night,1820,61,0,0,0,0
TXN100394,41.67,online,CA,morning,1588,481,0,0,1,0
TXN100395,267.01,atm,CA,night,3557,476,0,0,1,0
TXN100396,195.48,atm,NY,morning,2994,487,0,0,1,0
TXN100397,56.04,atm,TX,afternoon,1218,122,1,0,1,0
TXN100398,138.98,atm,OH,afternoon,1081,41,0,0,0,0
TXN100399,140.46,in_store,NY,afternoon,3473,372,0,0,1,0
TXN100400,10.88,atm,FL,afternoon,343,372,1,0,0,0
TXN100401,232.84,atm,NY,morning,1618,298,0,0,1,0
TXN100402,70.37,atm,FL,evening,1337,51,0,0,1,0
TXN100403,175.13,transfer,TX,morning,1351,378,0,0,1,0
TXN100404,38.57,transfer,NV,afternoon,2552,441,0,0,0,0
TXN100405,225.88,atm,NY,evening,2053,403,0,0,1,0
TXN100406,49.3,in_store,GA,night,2674,311,0,1,1,0
TXN100407,1.09,transfer,NV,morning,1402,66,0,0,1,0
TXN100408,235.79,online,MA,night,665,58,0,0,1,0
TXN100409,9.57,transfer,NY,afternoon,2522,303,0,0,1,0
TXN100410,38.47,online,FL,night,1260,34,0,0,0,0
TXN100411,299.7,transfer,OH,evening,446,135,0,0,0,0
TXN100412,300.79,atm,NY,evening,468,498,1,0,0,0
TXN100413,85.2,transfer,FL,evening,194,75,0,0,0,0
TXN100414,99.92,atm,TX,morning,1612,241,0,0,1,0
TXN100415,59.5,atm,CA,night,2497,492,0,0,1,0
TXN100416,34.7,transfer,NY,night,3472,490,0,0,1,0
TXN100417,39.85,online,WA,night,3367,287,0,0,1,0
TXN100418,111.63,online,MA,afternoon,3380,220,0,0,1,0
TXN100419,139.58,transfer,WA,morning,1017,300,0,0,0,0
TXN100420,156.82,atm,NV,morning,2559,84,1,0,1,0
TXN100421,155.88,online,NV,night,546,122,1,0,1,0
TXN100422,9.56,in_store,CA,morning,111,194,0,0,1,0
TXN100423,68.2,atm,CA,night,148,101,0,0,1,0
TXN100424,5.93,transfer,NV,night,1690,282,1,0,1,0
TXN100425,79.75,atm,NY,night,1356,374,0,0,1,1
TXN100426,58.26,in_store,IL,evening,3316,2,0,0,1,0
TXN100427,218.66,in_store,NY,afternoon,57,312,0,0,0,0
TXN100428,43.22,online,MA,morning,2054,448,0,0,1,0
TXN100429,12.45,in_store,NV,afternoon,2858,493,0,0,1,0
